,f1-score,precision,recall,support
te05-0038,0.9333333333333332,0.9130434782608695,0.9545454545454546,22.0
te05-0043,0.8333333333333333,1.0,0.7142857142857143,14.0
te05-0073,0.8727272727272727,0.7741935483870968,1.0,24.0
te05-0082,0.8571428571428572,0.84,0.875,24.0
te05-0088,0.8717948717948718,1.0,0.7727272727272727,22.0
te05-0108,0.9166666666666666,1.0,0.8461538461538461,13.0
te05-0126,0.9130434782608695,0.9545454545454546,0.875,24.0
te05-0130,0.8979591836734694,0.88,0.9166666666666666,24.0
te05-0131,1.0,1.0,1.0,15.0
te05-0151,0.9268292682926829,0.9047619047619048,0.95,20.0
te05-0165,0.4324324324324324,0.5714285714285714,0.34782608695652173,23.0
te05-0173,0.7272727272727272,0.7619047619047619,0.6956521739130435,23.0
te05-0177,1.0,1.0,1.0,23.0
te05-0194,0.896551724137931,0.8125,1.0,13.0
te05-0209,0.9,0.9473684210526315,0.8571428571428571,21.0
te05-0255,0.6666666666666666,0.5517241379310345,0.8421052631578947,19.0
te05-0271,0.5263157894736842,0.7142857142857143,0.4166666666666667,24.0
te05-0280,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
te05-0283,0.8679245283018867,0.7931034482758621,0.9583333333333334,24.0
te05-0290,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
te05-0314,0.9600000000000001,0.9230769230769231,1.0,24.0
te05-0339,0.9600000000000001,0.9230769230769231,1.0,24.0
te05-0347,0.816326530612245,0.8,0.8333333333333334,24.0
te05-0351,0.9361702127659574,0.9565217391304348,0.9166666666666666,24.0
te05-0365,0.8799999999999999,0.8461538461538461,0.9166666666666666,24.0
te05-0369,0.9600000000000001,0.9230769230769231,1.0,24.0
te05-0402,0.6296296296296297,0.5666666666666667,0.7083333333333334,24.0
te05-0421,0.7272727272727272,0.8,0.6666666666666666,18.0
te05-0430,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
te05-0433,0.6111111111111113,0.6470588235294118,0.5789473684210527,19.0
te05-0450,1.0,1.0,1.0,21.0
te05-0451,0.9600000000000001,0.9230769230769231,1.0,24.0
te05-0457,0.5555555555555556,0.8333333333333334,0.4166666666666667,24.0
te05-0473,0.9361702127659574,0.9565217391304348,0.9166666666666666,24.0
te05-0518,0.6666666666666667,0.8666666666666667,0.5416666666666666,24.0
te05-0540,0.909090909090909,0.8695652173913043,0.9523809523809523,21.0
te05-0541,0.6341463414634148,0.6842105263157895,0.5909090909090909,22.0
te05-0551,0.9019607843137256,0.8518518518518519,0.9583333333333334,24.0
te05-0555,0.8936170212765957,0.9130434782608695,0.875,24.0
te05-0567,0.7222222222222223,0.8125,0.65,20.0
te05-0571,0.9565217391304348,0.9166666666666666,1.0,22.0
te05-0584,0.9655172413793104,0.9333333333333333,1.0,14.0
te05-0606,0.7368421052631579,0.6176470588235294,0.9130434782608695,23.0
te05-0616,0.92,0.8518518518518519,1.0,23.0
te05-0626,0.5,0.75,0.375,24.0
te05-0628,0.7906976744186046,0.8947368421052632,0.7083333333333334,24.0
te05-0658,0.8823529411764706,0.9375,0.8333333333333334,18.0
te05-0660,0.9411764705882353,0.8888888888888888,1.0,24.0
te05-0661,0.8,0.7692307692307693,0.8333333333333334,24.0
te05-0684,1.0,1.0,1.0,20.0
te05-0693,1.0,1.0,1.0,21.0
te05-0695,0.923076923076923,0.8571428571428571,1.0,18.0
te05-0697,0.9777777777777777,1.0,0.9565217391304348,23.0
te05-0700,0.923076923076923,0.8571428571428571,1.0,24.0
te05-0708,1.0,1.0,1.0,15.0
te05-0717,0.9565217391304348,0.9166666666666666,1.0,22.0
te05-0722,0.7826086956521738,0.8181818181818182,0.75,24.0
te05-0731,0.6874999999999999,0.9166666666666666,0.55,20.0
te05-0740,0.7777777777777778,0.9333333333333333,0.6666666666666666,21.0
te05-0747,0.9565217391304348,0.9166666666666666,1.0,22.0
te05-0786,0.9387755102040817,0.92,0.9583333333333334,24.0
te05-0804,1.0,1.0,1.0,24.0
te05-0810,0.8275862068965517,1.0,0.7058823529411765,17.0
te05-0830,0.8627450980392156,0.7586206896551724,1.0,22.0
te05-0832,0.8181818181818182,0.9,0.75,24.0
te05-0842,0.8750000000000001,1.0,0.7777777777777778,18.0
te05-0862,1.0,1.0,1.0,24.0
te05-0886,0.962962962962963,1.0,0.9285714285714286,14.0
te05-0887,0.625,0.7692307692307693,0.5263157894736842,19.0
te05-0901,1.0,1.0,1.0,24.0
te05-0908,0.9047619047619048,0.8636363636363636,0.95,20.0
te05-0922,0.5882352941176471,1.0,0.4166666666666667,24.0
te05-0942,0.8387096774193549,0.9285714285714286,0.7647058823529411,17.0
te05-0953,1.0,1.0,1.0,13.0
